brand,model,year,price,mileage,exterior_color,interior_color,fuel_type,engine,transmission,city_mpg,hwy_mpg
Nissan, Altima 2.5 SV,2014,10995,30720,Cayenne Red,Beige,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,38
Nissan, Altima 2.5 S,2016,11495,58742,Storm Blue,Beige,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,39
Nissan, Altima 2.5,2014,10495,71308,Gun Metallic,Dark Gray,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,,
Nissan, Altima 2.5 S,2012,7495,97159,Winter Frost Pearl,Light Brown,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,23,32
Nissan, Altima 2.5 S,2014,8495,107199,Brilliant Silver,Dark Gray,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,38
Nissan, Altima 3.5 SR,2011,6995,125048,Metallic Slate,Charcoal,Gasoline,3.5L V6 24V MPFI DOHC,Automatic CVT,20,27
Nissan, Altima 2.5 S,2010,6495,131210,Radiant Silver,,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,23,32
Nissan, Sentra 2.0,2010,3995,151123,Aspen White Pearl,Gray,Gasoline,2.0L I4 16V MPFI DOHC,6-Speed Manual,24,31
Nissan, Maxima SV,2014,14995,47258,Pearl White,Cafe Latte,Gasoline,3.5L V6 24V MPFI DOHC,Automatic CVT,19,26
Nissan, Sentra SR,2017,12777,38804,Aspen White,Charcoal,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,29,37
Nissan, Altima 2.5 S,2016,14999,42532,Black,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,39
Nissan, Altima 2.5 S,2015,11999,46513,Storm Blue,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,38
Nissan, Maxima S,2011,8999,112013,Metallic Slate,Black,Gasoline,3.5L V6 24V MPFI DOHC,Automatic CVT,19,26
Nissan, Versa 1.6 SV,2017,8990,46511,Brilliant Silver,Charcoal,Gasoline,1.6L I4 16V MPFI DOHC,Automatic CVT,31,39
Nissan, Versa 1.6 SV,2017,8490,54887,,,Gasoline,1.6L I4 16V MPFI DOHC,Automatic CVT,31,39
Nissan, Altima 2.5 SV,2014,9490,76606,Super Black,Charcoal,Gasoline,2.5L I4 16V MPFI DOHC,Automatic CVT,27,38
Nissan, Versa 1.6 SV,2014,7990,42941,Blue Onyx,Charcoal,Gasoline,1.6L I4 109hp 107ft. lbs.,Automatic,31,40
Nissan, Sentra SV,2018,12988,8895,Cloud White,Charcoal,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,29,37
Nissan, Sentra S,2018,12288,9577,Black,Charcoal,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,27,35
Nissan, Sentra SV,2017,10988,33663,Cloud White,Charcoal,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,29,37
Nissan, Sentra S,2018,11588,41290,Black,Charcoal,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,27,35
Nissan, Versa 1.6 S,2014,6588,58016,Magnetic Gray,Charcoal,Gasoline,1.6L I4 16V MPFI DOHC,4-Speed Automatic,27,36
Nissan, Sentra FE+ S,2015,7988,69775,Fresh Powder,Charcoal,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,30,40
