brand,model,year,price,mileage,exterior_color,interior_color,fuel_type,engine,transmission,city_mpg,hwy_mpg
Ford,Fusion SE,2010,5238,153715,Tuxedo Black Metallic,Charcoal Black,E85 Flex Fuel,Gas/Ethanol V6 3.0L/181,6-Speed A/T,22,29
Ford,Fusion Hybrid SE,2014,11494,56446,Ruby Red Metallic Tinted Clearcoat,Dune,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,44,41
Ford,Fusion SE,2015,10795,65942,Magnetic,Ebony,Gasoline,2.5L I4 16V MPFI DOHC,6-Speed Automatic,22,31
Ford,Taurus SE,2018,15999,2269,White Gold Metallic,Dune,E85 Flex Fuel,3.5L V6 24V MPFI DOHC Flexible Fuel,6-Speed Automatic,18,27
Ford,Fusion Titanium,2017,19280,19642,Shadow Black,Ebony,Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,20,29
Ford,Fusion Titanium,2015,9998,101911,Silver,Charcoal Black,Gasoline,EcoBoost 2.0L I4 GTDi DOHC Turbocharged VCT,6-Speed Automatic,22,33
Ford,Fusion SE,2015,11947,59399,White,Ebony,Gasoline,2.5L I4 16V MPFI DOHC,6-Speed Automatic,22,31
Ford,Taurus Limited,2013,11360,53441,Green,Charcoal Black,Gasoline,3.5L V6 24V MPFI DOHC,6-Speed Automatic,19,29
Ford,Fusion Hybrid SE Hybrid,2013,6479,102175,Sterling Gray,Charcoal Black,Hybrid,2.0L I4 Atkinson-Cycle Hybrid,E-CVT Automatic,44,41
Ford,Fusion Hybrid Platinum,2018,15949,36195,Oxford White,Gray,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,43,41
Ford,Fusion SE,2017,16496,35780,Ingot Silver,,Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,21,32
Ford,Fusion SE,2015,11899,61504,Deep Impact Blue,Ebony,Gasoline,Regular Unleaded I-4 2.5 L/152,6-Speed Automatic w/OD,22,31
Ford,Fusion SE,2014,11900,73090,,,Gasoline,1.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,22,34
Ford,Fusion Hybrid SE,2017,13998,39371,Magnetic,Ebony,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,43,41
Ford,Fusion Titanium,2014,13995,71210,Sterling Gray Metallic,Charcoal Black,Gasoline,EcoBoost 2.0L I4 GTDi DOHC Turbocharged VCT,6-Speed Automatic,22,33
Ford,Fusion SE,2017,12499,66900,Silver,,Gasoline,2.5L I4 16V MPFI DOHC,6-Speed Automatic,21,32
Ford,Fusion SE,2015,11988,59965,Blue,Earth,Gasoline,2.5L I4 16V MPFI DOHC,6-Speed Automatic,22,31
Ford,Taurus Limited,2014,11900,85956,Tuxedo Black,Charcoal Black,Gasoline,3.5 L,Automatic,19,29
Ford,Fusion Hybrid SE,2018,17000,23795,Lightning Blue,Ebony,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,43,41
Ford,Fusion Energi Titanium,2016,15988,32889,White Platinum Tri-Coat Metallic,Medium Soft Ceramic,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,40,36
Ford,Fusion Hybrid Titanium,2016,16499,8254,Shadow Black,Dune,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,44,41
Ford,Fusion SE,2016,12000,64000,White,Tan,Gasoline,2.5L I4,Automatic 6-Speed,22,31
Ford,Taurus SEL,2017,16137,41763,Shadow Black,Charcoal Black,E85 Flex Fuel,3.5L V6 24V MPFI DOHC Flexible Fuel,6-Speed Automatic,17,24
Ford,Fusion SE,2018,14999,38045,Shadow Black,Ebony,Hybrid,Gas/Electric I-4 2.0 L/122,1-Speed CVT w/OD,20,29
Ford,Fusion Energi SE,2017,16798,16877,Ingot Silver Metallic,Ebony,Hybrid,Gas/Electric I-4 2.0 L/122,1-Speed CVT w/OD,,
