brand,model,year,price,mileage,exterior_color,interior_color,fuel_type,engine,transmission,city_mpg,hwy_mpg
Honda, Civic CNG,2012,5995,139167,Silver,Gray,Compressed Natural Gas,4 Cylinder Engine,Automatic,,
Honda, Accord Sport,2014,15000,79160,White,Black,Gasoline,4-cylinder,Automatic,24,34
Honda, Civic EX-L,2012,10995,48508,Silver,Gray,Gasoline,1.8L I4 16V MPFI SOHC,5-Speed Automatic,28,39
Honda, Accord LX-P,2012,11495,73068,White,Beige,Gasoline,2.4L I4 16V MPFI DOHC,5-Speed Automatic,23,34
Honda, Accord LX,2011,10495,83704,,,Gasoline,2.4L I4 16V MPFI DOHC,5-Speed Automatic,23,33
Honda, Accord LX-P,2012,10595,88662,,,Gasoline,2.4L I4 16V MPFI DOHC,5-Speed Automatic,23,34
Honda, Accord LX-P,2010,9495,94464,,,Gasoline,2.4L I4 16V MPFI DOHC,5-Speed Automatic,22,31
Honda, Accord LX,2012,10495,95610,Silver,Black,Gasoline,2.4L I4 16V MPFI DOHC,5-Speed Automatic,23,34
Honda, Accord SE,2012,9995,104087,Silver,Black,Gasoline,2.4L I4 16V MPFI DOHC,5-Speed Automatic,23,34
Honda, Accord SE,2012,10595,104744,,,Gasoline,2.4L I4 16V MPFI DOHC,5-Speed Automatic,23,34
Honda, Accord LX,2012,9995,105386,Dark Gray,Gray,Gasoline,2.4L I4 16V MPFI DOHC,5-Speed Automatic,23,34
Honda, Accord LX,2010,9495,106228,Dark Gray,Gray,Gasoline,2.4L I4 16V MPFI DOHC,5-Speed Automatic,22,31
Honda, Civic LX,2013,8995,110265,Silver,Gray,Gasoline,1.8L I4 16V MPFI SOHC,5-Speed Automatic,28,36
Honda, Accord SE,2011,10495,114394,Silver,Black,Gasoline,2.4L I4 16V MPFI DOHC,5-Speed Automatic,23,34
Honda, Civic LX,2014,11995,125010,Blue,Gray,Gasoline,1.8L I4 16V MPFI SOHC,Automatic CVT,28,36
Honda, Civic LX,2013,8495,127969,Silver,Gray,Gasoline,1.8L I4 16V MPFI SOHC,5-Speed Automatic,28,36
Honda, Accord LX,2010,7995,135635,Black,Black,Gasoline,2.4L I4 16V MPFI DOHC,5-Speed Automatic,22,31
Honda, Accord LX,2014,9999,138701,Black,Black,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,24,34
Honda, Civic LX,2016,11995,145963,Blue,Gray,Gasoline,2.0L I4 16V MPFI DOHC,Automatic CVT,27,40
Honda, Civic LX,2010,6995,146327,Black,Gray,Gasoline,1.8L I4 16V MPFI SOHC,5-Speed Automatic,26,34
Honda, Civic LX,2010,5995,149905,Red,Gray,Gasoline,1.8L I4 16V MPFI SOHC,5-Speed Automatic,26,34
Honda, Civic EX-L,2016,16490,37666,Crystal Black Pearl,Black,Gasoline,1.5L I4 16V GDI DOHC Turbo,Automatic CVT,31,42
Honda, Accord EX-L,2010,9400,91295,Bold Beige Metallic,Ivory,Gasoline,2.4L I4 190hp 162ft. lbs.,Automatic,22,31
Honda, Accord LX,2017,17398,30900,White,,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,23,32
Honda, Civic EX,2016,15597,34207,White,Black / Ivory,Gasoline,2.0L I4 16V MPFI DOHC,Automatic CVT,31,41
Honda, Accord Sport,2018,21088,23804,Lunar Silver Metallic,Black,Gasoline,1.5L I4 16V GDI DOHC Turbo,Automatic CVT,26,35
Honda, Accord EX-L,2018,20488,29245,Platinum White Pearl,Black,Gasoline,2.0L I4 16V GDI DOHC Turbo,10-Speed Automatic,30,38
Honda, Accord EX,2016,16588,31348,White Orchid Pearl,Gray,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,23,34
Honda, Civic EX,2016,14088,33527,Modern Steel Metallic,Gray,Gasoline,2.0L I4 16V MPFI DOHC,Automatic CVT,31,41
Honda, Accord Sport,2017,18488,35631,White Orchid Pearl,Black,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,23,32
Honda, Civic LX,2016,13088,36970,Crystal Black Pearl,Black,Gasoline,2.0L I4 16V MPFI DOHC,Automatic CVT,27,40
Honda, Accord Sport,2016,16688,37947,White Orchid Pearl,Black,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,23,34
Honda, Accord LX,2017,14588,43695,Modern Steel Metallic,Black,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,23,32
