brand,model,year,price,mileage,exterior_color,interior_color,fuel_type,engine,transmission,city_mpg,hwy_mpg
Kia, Rio LX,2013,6995,68085,Black,Black,Gasoline,1.6L I4 16V GDI DOHC,6-Speed Automatic,29,37
Kia, Forte LX,2016,9995,71669,Dark Blue,Black,Gasoline,1.8L I4 16V MPFI DOHC,6-Speed Automatic,25,37
Kia, Optima EX,2013,9995,89047,,,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,24,35
Kia, Forte EX,2013,6995,91000,Silver,Stone,Gasoline,2.0L I4 16V MPFI DOHC,6-Speed Automatic,26,36
Kia, Forte LX,2016,7995,124277,Black,Black,Gasoline,1.8L I4 16V MPFI DOHC,6-Speed Automatic,25,37
Kia, Optima LX,2016,8995,131904,,,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,24,35
Kia, Optima LX,2018,14999,14298,Snow White Pearl,Black,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,25,36
Kia, Optima LX,2019,15488,15913,Snow White Pearl,Black,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,24,33
Kia, Optima EX,2016,15088,23435,Snow White Pearl,Black,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,24,35
Kia, Optima Hybrid,2015,11988,41584,Aluminum Silver Metallic,Black,Hybrid,2.4L I4 16V MPFI DOHC Hybrid,6-Speed Automatic,,
Kia, Optima LX,2014,10388,60754,Metal Bronze,Beige,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,23,34
Kia, Optima LX,2015,10488,60802,Snow White Pearl,Beige,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,23,34
Kia, Optima SX Turbo,2015,12088,64965,Ebony Black,Black,Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,20,31
Kia, Optima LX,2015,9088,77946,Titanium Silver,Gray,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,23,34
Kia, Forte LX,2015,10599,12322,Desert Sand,Gray,Gasoline,1.8L I4 16V MPFI DOHC,6-Speed Automatic,25,37
Kia, Optima LX,2016,13099,21061,Titanium Gray,Black,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,24,35
