brand,model,year,price,mileage,exterior_color,interior_color,fuel_type,engine,transmission,city_mpg,hwy_mpg
Toyota, Corolla S,2013,10495,79970,,,Gasoline,1.8L I4 16V MPFI DOHC,4-Speed Automatic,27,34
Toyota, Corolla LE,2010,6995,91972,Black,Gray,Gasoline,1.8L I4 16V MPFI DOHC,4-Speed Automatic,26,34
Toyota, Camry SE,2010,8995,103402,,,Gasoline,3.5L V6 24V MPFI DOHC,6-Speed Automatic,22,33
Toyota, Camry PACKAGE-MANUAL TRANSMISSION-RARE!!,2011,7495,117396,Tan,Tan,Gasoline,2.5L I4 16V MPFI DOHC,6-Speed Manual,,
Toyota, Corolla LE,2011,7995,136685,Black,Gray,Gasoline,1.8L I4 16V MPFI DOHC,4-Speed Automatic,26,34
Toyota, Camry XSE,2017,16811,52355,Celestial Silver Metallic,Ash / Black,Gasoline,2.5L I4 16V MPFI DOHC,6-Speed Automatic,21,30
Toyota, Corolla LE,2014,8676,116708,Green,Tan,Gasoline,1.8L I4 132hp 128ft. lbs.,Automatic,29,38
Toyota, Avalon Hybrid XLE Premium,2015,18398,65373,Celestial Silver Metallic,Light Gray,Hybrid,2.5L I4 16V MPFI DOHC Hybrid,Automatic CVT,40,39
Toyota, Camry Hybrid XLE,2013,14098,93020,White,Light Gray,Hybrid,2.5L I4 16V MPFI DOHC Hybrid,Automatic CVT,40,38
Toyota, Camry SE,2019,21588,11347,Celestial Silver Metallic,Black,Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,28,39
Toyota, Camry XSE,2018,24088,32773,Silver,Black,Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,22,32
Toyota, Mirai Base,2017,15588,35872,Crystal White,Blue Black,Electric,Electric,1-Speed Automatic,66,66
Toyota, Corolla LE,2018,13588,36475,Super White,Steel Gray,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,28,36
Toyota, Corolla L,2016,11488,49941,Classic Silver Metallic,Steel Gray,Gasoline,1.8L I4 16V MPFI DOHC,4-Speed Automatic,28,37
Toyota, Camry SE,2016,13799,20082,Gray,Black,Gasoline,2.5L I4 16V MPFI DOHC,6-Speed Automatic,25,35
Toyota, Camry SE,2017,14999,23838,Super White,Black,Gasoline,2.5L I4 16V MPFI DOHC,6-Speed Automatic,24,33
Toyota, Corolla LE,2016,11799,28422,Super White,Gray,Gasoline,1.8L I4 16V MPFI DOHC,Automatic CVT,29,38
